No.,Pokemon,Type 1,Type 2 ,HP,ATK,DEF,SPA,SPD,SPE,BST,ABILITY 1,ABILITY 2,HIDDEN ABILITY,can mega,Pokemon
622,Golett,Ground,Ghost,59,74,50,35,50,35,303,Iron Fist,Klutz,No Guard,na,Golett
623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,Iron Fist,Klutz,No Guard,na,Golurk
624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,Defiant,Inner Focus,Pressure,na,Pawniard
625,Bisharp,Dark,Steel,65,125,100,60,70,70,490,Defiant,Inner Focus,Pressure,na,Bisharp
626,Bouffalant,Normal,na,95,110,95,40,95,55,490,Reckless,Sap Sipper,Soundproof,na,Bouffalant
627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,Keen Eye,Sheer Force,Hustle,na,Rufflet
628,Braviary,Normal,Flying,100,123,75,57,75,80,510,Keen Eye,Sheer Force,Defiant,na,Braviary
628,Braviary-Hisui,Psychic,Flying,110,83,70,112,70,65,510,Keen Eye,Sheer Force,Tinted Lens,na,Braviary-Hisui
629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,Big Pecks,Overcoat,Weak Armor,na,Vullaby
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,510,Big Pecks,Overcoat,Weak Armor,na,Mandibuzz
631,Heatmor,Fire,na,85,97,66,105,66,65,484,Gluttony,Flash Fire,White Smoke,na,Heatmor
632,Durant,Bug,Steel,58,109,112,48,48,109,484,Swarm,Hustle,Truant,na,Durant
633,Deino,Dark,Dragon,52,65,50,45,50,38,300,Hustle,na,na,na,Deino
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,Hustle,na,na,na,Zweilous
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,600,Levitate,na,na,na,Hydreigon
636,Larvesta,Bug,Fire,55,85,55,50,55,60,360,Flame Body,na,Swarm,na,Larvesta
637,Volcarona,Bug,Fire,85,60,65,135,105,100,550,Flame Body,na,Swarm,na,Volcarona
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580,Justified,na,na,na,Cobalion
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,580,Justified,na,na,na,Terrakion
640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,Justified,na,na,na,Virizion
641,Tornadus,Flying,na,79,115,70,125,80,111,580,Prankster,na,Defiant,na,Tornadus
641,Tornadus-Therian,Flying,na,79,100,80,110,90,121,580,Regenerator,na,na,na,Tornadus-Therian
642,Thundurus,Electric,Flying,79,115,70,125,80,111,580,Prankster,na,Defiant,na,Thundurus
642,Thundurus-Therian,Electric,Flying,79,105,70,145,80,101,580,Volt Absorb,na,na,na,Thundurus-Therian
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,680,Turboblaze,na,na,na,Reshiram
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,680,Teravolt,na,na,na,Zekrom
645,Landorus,Ground,Flying,89,125,90,115,80,101,600,Sand Force,na,Sheer Force,na,Landorus
645,Landorus-Therian,Ground,Flying,89,145,90,105,80,91,600,Intimidate,na,na,na,Landorus-Therian
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,660,Pressure,na,na,na,Kyurem
646,Kyurem-Black,Dragon,Ice,125,170,100,120,90,95,700,Teravolt,na,na,na,Kyurem-Black
646,Kyurem-White,Dragon,Ice,125,120,90,170,100,95,700,Turboblaze,na,na,na,Kyurem-White
647,Keldeo,Water,Fighting,91,72,90,129,90,108,580,Justified,na,na,na,Keldeo
648,Meloetta,Normal,Psychic,100,77,77,128,128,90,600,Serene Grace,na,na,na,Meloetta
648,Meloetta-Pirouette,Normal,Fighting,100,128,90,77,77,128,600,Serene Grace,na,na,na,Meloetta-Pirouette
649,Genesect,Bug,Steel,71,120,95,120,95,99,600,Download,na,na,na,Genesect
650,Chespin,Grass,na,56,61,65,48,45,38,313,Overgrow,na,Bulletproof,na,Chespin
651,Quilladin,Grass,na,61,78,95,56,58,57,405,Overgrow,na,Bulletproof,na,Quilladin
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,530,Overgrow,na,Bulletproof,na,Chesnaught
653,Fennekin,Fire,na,40,45,40,62,60,60,307,Blaze,na,Magician,na,Fennekin
654,Braixen,Fire,na,59,59,58,90,70,73,409,Blaze,na,Magician,na,Braixen
655,Delphox,Fire,Psychic,75,69,72,114,100,104,534,Blaze,na,Magician,na,Delphox
656,Froakie,Water,na,41,56,40,62,44,71,314,Torrent,na,Protean,na,Froakie
657,Frogadier,Water,na,54,63,52,83,56,97,405,Torrent,na,Protean,na,Frogadier
658,Greninja,Water,Dark,72,95,67,103,71,122,530,Torrent,na,Protean,na,Greninja
658,Greninja-Ash,Water,Dark,72,95,67,103,71,122,640,Battle Bond,na,na,na,Greninja-Ash
659,Bunnelby,Normal,na,38,36,38,32,36,57,237,Pickup,Cheek Pouch,Huge Power,na,Bunnelby
660,Diggersby,Normal,Ground,85,56,77,50,77,78,423,Pickup,Cheek Pouch,Huge Power,na,Diggersby
661,Fletchling,Normal,Flying,45,50,43,40,38,62,278,Big Pecks,na,Gale Wings,na,Fletchling
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,382,Flame Body,na,Gale Wings,na,Fletchinder
663,Talonflame,Fire,Flying,78,81,71,74,69,126,499,Flame Body,na,Gale Wings,na,Talonflame
664,Scatterbug,Bug,na,38,35,40,27,25,35,200,Shield Dust,Compound Eyes,Friend Guard,na,Scatterbug
665,Spewpa,Bug,na,45,22,60,27,30,29,213,Shed Skin,na,Friend Guard,na,Spewpa
666,Vivillon,Bug,Flying,80,52,50,90,50,89,411,Shield Dust,Compound Eyes,Friend Guard,na,Vivillon
667,Litleo,Fire,Normal,62,50,58,73,54,72,369,Rivalry,Unnerve,Moxie,na,Litleo
668,Pyroar,Fire,Normal,86,68,72,109,66,106,507,Rivalry,Unnerve,Moxie,na,Pyroar
669,Flabebe,Fairy,na,44,38,39,61,79,42,303,Flower Veil,na,na,na,Flabebe
670,Floette,Fairy,na,54,45,47,75,98,52,371,Flower Veil,na,Symbiosis,na,Floette
670,Floette-Eternal,Fairy,na,74,65,67,125,128,92,551,Flower Veil,na,Symbiosis,na,Floette-Eternal
671,Florges,Fairy,na,78,65,68,112,154,75,552,Flower Veil,na,Symbiosis,na,Florges
672,Skiddo,Grass,na,66,65,48,62,57,52,350,Sap Sipper,na,Grass Pelt,na,Skiddo
673,Gogoat,Grass,na,123,100,62,97,81,68,531,Sap Sipper,na,Grass Pelt,na,Gogoat
674,Pancham,Fighting,na,67,82,62,46,48,43,348,Iron Fist,Mold Breaker,Scrappy,na,Pancham
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495,Iron Fist,Mold Breaker,Scrappy,na,Pangoro
676,Furfrou,Normal,na,75,80,60,65,90,102,472,Fur Coat,na,na,na,Furfrou
677,Espurr,Psychic,na,62,48,54,63,60,68,355,Keen Eye,Infiltrator,Own Tempo,na,Espurr
678,Meowstic,Psychic,na,74,48,76,83,81,104,466,Keen Eye,Infiltrator,Prankster / Competitive,na,Meowstic
678,Meowstic-F,Psychic,na,74,48,76,83,81,104,466,Keen Eye,Infiltrator,Competitive,na,Meowstic-F
679,Honedge,Steel,Ghost,45,80,100,35,37,28,325,No Guard,na,na,na,Honedge
680,Doublade,Steel,Ghost,59,110,150,45,49,35,448,No Guard,na,na,na,Doublade
681,Aegislash,Steel,Ghost,60,50,140,50,140,60,500,Stance Change,na,na,na,Aegislash
681,Aegislash-Blade,Steel,Ghost,60,140,50,140,50,60,500,Stance Change,na,na,na,Aegislash-Blade
682,Spritzee,Fairy,na,78,52,60,63,65,23,341,Healer,na,Aroma Veil,na,Spritzee
683,Aromatisse,Fairy,na,101,72,72,99,89,29,462,Healer,na,Aroma Veil,na,Aromatisse
684,Swirlix,Fairy,na,62,48,66,59,57,49,341,Sweet Veil,na,Unburden,na,Swirlix
685,Slurpuff,Fairy,na,82,80,86,85,75,72,480,Sweet Veil,na,Unburden,na,Slurpuff
686,Inkay,Dark,Psychic,53,54,53,37,46,45,288,Contrary,Suction Cups,Infiltrator,na,Inkay
687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,Contrary,Suction Cups,Infiltrator,na,Malamar
688,Binacle,Rock,Water,42,52,67,39,56,50,306,Sniper,Tough Claws,Pickpocket,na,Binacle
689,Barbaracle,Rock,Water,72,105,115,54,86,68,500,Sniper,Tough Claws,Pickpocket,na,Barbaracle
690,Skrelp,Poison,Water,50,60,60,60,60,30,320,Poison Point,Poison Touch,Adaptability,na,Skrelp
691,Dragalge,Poison,Dragon,65,75,90,97,123,44,494,Poison Point,Poison Touch,Adaptability,na,Dragalge
692,Clauncher,Water,na,50,53,62,58,63,44,330,Mega Launcher,na,na,na,Clauncher
693,Clawitzer,Water,na,71,73,88,120,89,59,500,Mega Launcher,na,na,na,Clawitzer
694,Helioptile,Electric,Normal,44,38,33,61,43,70,289,Dry Skin,Sand Veil,Solar Power,na,Helioptile
695,Heliolisk,Electric,Normal,62,55,52,109,94,109,481,Dry Skin,Sand Veil,Solar Power,na,Heliolisk
696,Tyrunt,Rock,Dragon,58,89,77,45,45,48,362,Strong Jaw,na,Sturdy,na,Tyrunt
697,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,521,Strong Jaw,na,Rock Head,na,Tyrantrum
698,Amaura,Rock,Ice,77,59,50,67,63,46,362,Refrigerate,na,Snow Warning,na,Amaura
699,Aurorus,Rock,Ice,123,77,72,99,92,58,521,Refrigerate,na,Snow Warning,na,Aurorus
700,Sylveon,Fairy,na,95,65,65,110,130,60,525,Cute Charm,na,Pixilate,na,Sylveon
701,Hawlucha,Fighting,Flying,78,92,75,74,63,118,500,Limber,Unburden,Mold Breaker,na,Hawlucha
702,Dedenne,Electric,Fairy,67,58,57,81,67,101,431,Cheek Pouch,Pickup,Plus,na,Dedenne
703,Carbink,Rock,Fairy,50,50,150,50,150,50,500,Clear Body,na,Sturdy,na,Carbink
704,Goomy,Dragon,na,45,50,35,55,75,40,300,Sap Sipper,Hydration,Gooey,na,Goomy
705,Sliggoo,Dragon,na,68,75,53,83,113,60,452,Sap Sipper,Hydration,Gooey,na,Sliggoo
705,Sliggoo-Hisui,Steel,Dragon,58,75,83,83,113,40,452,Sap Sipper,Shell Armor,Gooey,na,Sliggoo-Hisui
706,Goodra,Dragon,na,90,100,70,110,150,80,600,Sap Sipper,Hydration,Gooey,na,Goodra
706,Goodra-Hisui,Steel,Dragon,80,100,100,110,150,60,600,Sap Sipper,Shell Armor,Gooey,na,Goodra-Hisui
707,Klefki,Steel,Fairy,57,80,91,80,87,75,470,Prankster,na,Magician,na,Klefki
708,Phantump,Ghost,Grass,43,70,48,50,60,38,309,Natural Cure,Frisk,Harvest,na,Phantump
709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,Natural Cure,Frisk,Harvest,na,Trevenant
710,Pumpkaboo,Ghost,Grass,49,66,70,44,55,51,335,Pickup,Frisk,Insomnia,na,Pumpkaboo
710,Pumpkaboo-Super,Ghost,Grass,59,66,70,44,55,41,335,Pickup,Frisk,Insomnia,na,Pumpkaboo-Super
710,Pumpkaboo-Large,Ghost,Grass,54,66,70,44,55,46,335,Pickup,Frisk,Insomnia,na,Pumpkaboo-Large
710,Pumpkaboo-Small,Ghost,Grass,44,66,70,44,55,56,335,Pickup,Frisk,Insomnia,na,Pumpkaboo-Small
711,Gourgeist,Ghost,Grass,65,90,122,58,75,84,494,Pickup,Frisk,Insomnia,na,Gourgeist
711,Gourgeist-Super,Ghost,Grass,85,100,122,58,75,54,494,Pickup,Frisk,Insomnia,na,Gourgeist-Super
711,Gourgeist-Large,Ghost,Grass,75,95,122,58,75,69,494,Pickup,Frisk,Insomnia,na,Gourgeist-Large
711,Gourgeist-Small,Ghost,Grass,55,85,122,58,75,99,494,Pickup,Frisk,Insomnia,na,Gourgeist-Small
712,Bergmite,Ice,na,55,69,85,32,35,28,304,Own Tempo,Ice Body,Sturdy,na,Bergmite
713,Avalugg,Ice,na,95,117,184,44,46,28,514,Own Tempo,Ice Body,Sturdy,na,Avalugg
713,Avalugg-Hisui,Ice,Rock,95,127,184,34,36,38,514,Strong Jaw,Ice Body,Sturdy,na,Avalugg-Hisui
714,Noibat,Dragon,Flying,40,30,35,45,40,55,245,Frisk,Infiltrator,Telepathy,na,Noibat
715,Noivern,Dragon,Flying,85,70,80,97,80,123,535,Frisk,Infiltrator,Telepathy,na,Noivern
716,Xerneas,Fairy,na,126,131,95,131,98,99,680,Fairy Aura,na,na,na,Xerneas
717,Yveltal,Dark,Flying,126,131,95,131,98,99,680,Dark Aura,na,na,na,Yveltal
718,Zygarde,Dragon,Ground,108,100,121,81,95,95,600,Aura Break,Power Construct,na,na,Zygarde
71810,Zygarde-10,Dragon,Ground,54,100,71,61,85,115,486,Aura Break,Power Construct,na,na,Zygarde-10
718,Zygarde-Complete,Dragon,Ground,216,100,121,91,95,85,708,Power Construct,na,na,na,Zygarde-Complete
719,Diancie,Rock,Fairy,50,100,150,100,150,50,600,Clear Body,na,na,TRUE,Diancie
719.1,Mega Diancie,Rock,Fairy,50,160,110,160,110,110,700,Magic Bounce,na,na,na,Diancie_1
720,Hoopa,Psychic,Ghost,80,110,60,150,130,70,600,Magician,na,na,na,Hoopa
720,Hoopa-Unbound,Psychic,Dark,80,160,60,170,130,80,680,Magician,na,na,na,Hoopa-Unbound
721,Volcanion,Fire,Water,80,110,120,130,90,70,600,Water Absorb,na,na,na,Volcanion
722,Rowlet,Grass,Flying,68,55,55,50,50,42,320,Overgrow,na,Long Reach,na,Rowlet
723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,Overgrow,na,Long Reach,na,Dartrix
724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,Overgrow,na,Long Reach,na,Decidueye
724,Decidueye-Hisui,Grass,Fighting,88,112,80,95,95,60,530,Overgrow,na,Scrappy,na,Decidueye-Hisui
725,Litten,Fire,na,45,65,40,60,40,70,320,Blaze,na,Intimidate,na,Litten
726,Torracat,Fire,na,65,85,50,80,50,90,420,Blaze,na,Intimidate,na,Torracat
727,Incineroar,Fire,Dark,95,115,90,80,90,60,530,Blaze,na,Intimidate,na,Incineroar
728,Popplio,Water,na,50,54,54,66,56,40,320,Torrent,na,Liquid Voice,na,Popplio
729,Brionne,Water,na,60,69,69,91,81,50,420,Torrent,na,Liquid Voice,na,Brionne
730,Primarina,Water,Fairy,80,74,74,126,116,60,530,Torrent,na,Liquid Voice,na,Primarina
731,Pikipek,Normal,Flying,35,75,30,30,30,65,265,Keen Eye,Skill Link,Pickup,na,Pikipek
732,Trumbeak,Normal,Flying,55,85,50,40,50,75,355,Keen Eye,Skill Link,Pickup,na,Trumbeak
733,Toucannon,Normal,Flying,80,120,75,75,75,60,485,Keen Eye,Skill Link,Sheer Force,na,Toucannon
734,Yungoos,Normal,na,48,70,30,30,30,45,253,Stakeout,Strong Jaw,Adaptability,na,Yungoos
735,Gumshoos,Normal,na,88,110,60,55,60,45,418,Stakeout,Strong Jaw,Adaptability,na,Gumshoos
736,Grubbin,Bug,na,47,62,45,55,45,46,300,Swarm,na,na,na,Grubbin
737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,Battery,na,na,na,Charjabug
738,Vikavolt,Bug,Electric,77,70,90,145,75,43,500,Levitate,na,na,na,Vikavolt
739,Crabrawler,Fighting,na,47,82,57,42,47,63,338,Hyper Cutter,Iron Fist,Anger Point,na,Crabrawler
740,Crabominable,Fighting,Ice,97,132,77,62,67,43,478,Hyper Cutter,Iron Fist,Anger Point,na,Crabominable
741,Oricorio,Fire,Flying,75,70,70,98,70,93,476,Dancer,na,na,na,Oricorio
741,Oricorio-Pom-Pom,Electric,Flying,75,70,70,98,70,93,476,Dancer,na,na,na,Oricorio-Pom-Pom
741,Oricorio-Pau,Psychic,Flying,75,70,70,98,70,93,476,Dancer,na,na,na,Oricorio-Pau
741,Oricorio-Sensu,Ghost,Flying,75,70,70,98,70,93,476,Dancer,na,na,na,Oricorio-Sensu
742,Cutiefly,Bug,Fairy,40,45,40,55,40,84,304,Honey Gather,Shield Dust,Sweet Veil,na,Cutiefly
743,Ribombee,Bug,Fairy,60,55,60,95,70,124,464,Honey Gather,Shield Dust,Sweet Veil,na,Ribombee
744,Rockruff,Rock,na,45,65,40,30,40,60,280,Keen Eye,Vital Spirit,Steadfast,na,Rockruff
745,Lycanroc,Rock,na,75,115,65,55,65,112,487,Keen Eye,Sand Rush,Steadfast,na,Lycanroc
745,Lycanroc-Dusk,Rock,na,75,117,65,55,65,110,487,Tough Claws,na,na,na,Lycanroc-Dusk
745,Lycanroc-Midnight,Rock,na,85,115,75,55,75,82,487,Keen Eye,Vital Spirit,No Guard,na,Lycanroc-Midnight
746,Wishiwashi,Water,na,45,20,20,25,25,40,175,Schooling,na,na,na,Wishiwashi
746,Wishiwashi-School,Water,na,45,140,130,140,135,30,620,Schooling,na,na,na,Wishiwashi-School
747,Mareanie,Poison,Water,50,53,62,43,52,45,305,Merciless,Limber,Regenerator,na,Mareanie
748,Toxapex,Poison,Water,50,63,152,53,142,35,495,Merciless,Limber,Regenerator,na,Toxapex
749,Mudbray,Ground,na,70,100,70,45,55,45,385,Own Tempo,Stamina,Inner Focus,na,Mudbray
750,Mudsdale,Ground,na,100,125,100,55,85,35,500,Own Tempo,Stamina,Inner Focus,na,Mudsdale
751,Dewpider,Water,Bug,38,40,52,40,72,27,269,Water Bubble,na,Water Absorb,na,Dewpider
752,Araquanid,Water,Bug,68,70,92,50,132,42,454,Water Bubble,na,Water Absorb,na,Araquanid
753,Fomantis,Grass,na,40,55,35,50,35,35,250,Leaf Guard,na,Contrary,na,Fomantis
754,Lurantis,Grass,na,70,105,90,80,90,45,480,Leaf Guard,na,Contrary,na,Lurantis
755,Morelull,Grass,Fairy,40,35,55,65,75,15,285,Illuminate,Effect Spore,Rain Dish,na,Morelull
756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,Illuminate,Effect Spore,Rain Dish,na,Shiinotic
757,Salandit,Poison,Fire,48,44,40,71,40,77,320,Corrosion,na,Oblivious,na,Salandit
758,Salazzle,Poison,Fire,68,64,60,111,60,117,480,Corrosion,na,Oblivious,na,Salazzle
759,Stufful,Normal,Fighting,70,75,50,45,50,50,340,Fluffy,Klutz,Cute Charm,na,Stufful
760,Bewear,Normal,Fighting,120,125,80,55,60,60,500,Fluffy,Klutz,Unnerve,na,Bewear
761,Bounsweet,Grass,na,42,30,38,30,38,32,210,Leaf Guard,Oblivious,Sweet Veil,na,Bounsweet
762,Steenee,Grass,na,52,40,48,40,48,62,290,Leaf Guard,Oblivious,Sweet Veil,na,Steenee
763,Tsareena,Grass,na,72,120,98,50,98,72,510,Leaf Guard,Queenly Majesty,Sweet Veil,na,Tsareena
764,Comfey,Fairy,na,51,52,90,82,110,100,485,Flower Veil,Triage,Natural Cure,na,Comfey
765,Oranguru,Normal,Psychic,90,60,80,90,110,60,490,Inner Focus,Telepathy,Symbiosis,na,Oranguru
766,Passimian,Fighting,na,100,120,90,40,60,80,490,Receiver,na,Defiant,na,Passimian
767,Wimpod,Bug,Water,25,35,40,20,30,80,230,Wimp Out,na,na,na,Wimpod
768,Golisopod,Bug,Water,75,125,140,60,90,40,530,Emergency Exit,na,na,na,Golisopod
769,Sandygast,Ghost,Ground,55,55,80,70,45,15,320,Water Compaction,na,Sand Veil,na,Sandygast
770,Palossand,Ghost,Ground,85,75,110,100,75,35,480,Water Compaction,na,Sand Veil,na,Palossand
771,Pyukumuku,Water,na,55,60,130,30,130,5,410,Innards Out,na,Unaware,na,Pyukumuku
772,Type: Null,Normal,na,95,95,95,95,95,59,534,Battle Armor,na,na,na,Type: Null
773,Silvally,Normal,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally
773,Silvally-Fire,Fire,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Fire
773,Silvally-Water,Water,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Water
773,Silvally-Electric,Electric,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Electric
773,Silvally-Grass,Grass,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Grass
773,Silvally-Ice,Ice,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Ice
773,Silvally-Fighting,Fighting,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Fighting
773,Silvally-Poison,Poison,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Poison
773,Silvally-Ground,Ground,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Ground
773,Silvally-Flying,Flying,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Flying
773,Silvally-Psychic,Psychic,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Psychic
773,Silvally-Bug,Bug,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Bug
773,Silvally-Rock,Rock,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Rock
773,Silvally-Ghost,Ghost,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Ghost
773,Silvally-Dragon,Dragon,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Dragon
773,Silvally-Dark,Dark,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Dark
773,Silvally-Steel,Steel,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Steel
773,Silvally-Fairy,Fairy,na,95,95,95,95,95,95,570,RKS System,na,na,na,Silvally-Fairy
774,Minior,Rock,Flying,60,60,100,60,100,60,440,Shields Down,na,na,na,Minior
775,Komala,Normal,na,65,115,65,75,95,65,480,Comatose,na,na,na,Komala
776,Turtonator,Fire,Dragon,60,78,135,91,85,36,485,Shell Armor,na,na,na,Turtonator
777,Togedemaru,Electric,Steel,65,98,63,40,73,96,435,Iron Barbs,Lightning Rod,Sturdy,na,Togedemaru
778,Mimikyu,Ghost,Fairy,55,90,80,50,105,96,476,Disguise,na,na,na,Mimikyu
779,Bruxish,Water,Psychic,68,105,70,70,70,92,475,Dazzling,Strong Jaw,Wonder Skin,na,Bruxish
780,Drampa,Normal,Dragon,78,60,85,135,91,36,485,Berserk,Sap Sipper,Cloud Nine,na,Drampa
781,Dhelmise,Ghost,Grass,70,131,100,86,90,40,517,Steelworker,na,na,na,Dhelmise
782,Jangmo-o,Dragon,na,45,55,65,45,45,45,300,Bulletproof,Soundproof,Overcoat,na,jangmoo
783,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,420,Bulletproof,Soundproof,Overcoat,na,hakamoo
784,Kommo-o,Dragon,Fighting,75,110,125,100,105,85,600,Bulletproof,Soundproof,Overcoat,na,kommoo
785,Tapu Koko,Electric,Fairy,70,115,85,95,75,130,570,Electric Surge,na,Telepathy,na,Tapukoko
786,Tapu Lele,Psychic,Fairy,70,85,75,130,115,95,570,Psychic Surge,na,Telepathy,na,tapulele
787,Tapu Bulu,Grass,Fairy,70,130,115,85,95,75,570,Grassy Surge,na,Telepathy,na,Tapubulu
788,Tapu Fini,Water,Fairy,70,75,115,95,130,85,570,Misty Surge,na,Telepathy,na,Tapufini
789,Cosmog,Psychic,na,43,29,31,29,31,37,200,Unaware,na,na,na,Cosmog
790,Cosmoem,Psychic,na,43,29,131,29,131,37,400,Sturdy,na,na,na,Cosmoem
791,Solgaleo,Psychic,Steel,137,137,107,113,89,97,680,Full Metal Body,na,na,na,Solgaleo
792,Lunala,Psychic,Ghost,137,113,89,137,107,97,680,Shadow Shield,na,na,na,Lunala
793,Nihilego,Rock,Poison,109,53,47,127,131,103,570,Beast Boost,na,na,na,Nihilego
794,Buzzwole,Bug,Fighting,107,139,139,53,53,79,570,Beast Boost,na,na,na,Buzzwole
795,Pheromosa,Bug,Fighting,71,137,37,137,37,151,570,Beast Boost,na,na,na,Pheromosa
796,Xurkitree,Electric,na,83,89,71,173,71,83,570,Beast Boost,na,na,na,Xurkitree
797,Celesteela,Steel,Flying,97,101,103,107,101,61,570,Beast Boost,na,na,na,Celesteela
798,Kartana,Grass,Steel,59,181,131,59,31,109,570,Beast Boost,na,na,na,Kartana
799,Guzzlord,Dark,Dragon,223,101,53,97,53,43,570,Beast Boost,na,na,na,Guzzlord
800,Necrozma,Psychic,na,97,107,101,127,89,79,600,Prism Armor,na,na,na,Necrozma
800,Necrozma-Dusk,Psychic,Steel,97,157,127,113,109,77,680,Prism Armor,na,na,na,Necrozma-Dusk
800,Necrozma-Dawn,Psychic,Ghost,97,113,109,157,127,77,680,Prism Armor,na,na,na,Necrozma-Dawn
800,Necrozma-Ultra,Psychic,Dragon,97,167,97,167,97,129,754,Neuroforce,na,na,na,Necrozma-Ultra
801,Magearna,Steel,Fairy,80,95,115,130,115,65,600,Soul-Heart,na,na,na,Magearna
802,Marshadow,Fighting,Ghost,90,125,80,90,90,125,600,Technician,na,na,na,Marshadow
803,Poipole,Poison,na,67,73,67,73,67,73,420,Beast Boost,na,na,na,Poipole
804,Naganadel,Poison,Dragon,73,73,73,127,73,121,540,Beast Boost,na,na,na,Naganadel
805,Stakataka,Rock,Steel,61,131,211,53,101,13,570,Beast Boost,na,na,na,Stakataka
806,Blacephalon,Fire,Ghost,53,127,53,151,79,107,570,Beast Boost,na,na,na,Blacephalon
807,Zeraora,Electric,na,88,112,75,102,80,143,600,Volt Absorb,na,na,na,Zeraora
808,Meltan,Steel,na,46,65,65,55,35,34,300,Magnet Pull,na,na,na,Meltan
809,Melmetal,Steel,na,135,143,143,80,65,34,600,Iron Fist,na,na,na,Melmetal
809,Melmetal-gmax,Steel,na,135,143,143,80,65,34,600,Iron Fist,na,na,na,Melmetal-gmax
810,Grookey,Grass,na,50,65,50,40,40,65,310,Overgrow,na,Grassy Surge,na,Grookey
811,Thwackey,Grass,na,70,85,70,55,60,80,420,Overgrow,na,Grassy Surge,na,Thwackey
812,Rillaboom,Grass,na,100,125,90,60,70,85,530,Overgrow,na,Grassy Surge,na,Rillaboom
812,Rillaboom-Gmax,Grass,na,100,125,90,60,70,85,530,Overgrow,na,Grassy Surge,na,Rillaboom-Gmax
813,Scorbunny,Fire,na,50,71,40,40,40,69,310,Blaze,na,Libero,na,Scorbunny
814,Raboot,Fire,na,65,86,60,55,60,94,420,Blaze,na,Libero,na,Raboot
815,Cinderace,Fire,na,80,116,75,65,75,119,530,Blaze,na,Libero,na,Cinderace
815,Cinderace-Gmax,Fire,na,80,116,75,65,75,119,530,Blaze,na,Libero,na,Cinderace-Gmax
816,Sobble,Water,na,50,40,40,70,40,70,310,Torrent,na,Sniper,na,Sobble
817,Drizzile,Water,na,65,60,55,95,55,90,420,Torrent,na,Sniper,na,Drizzile
818,Inteleon,Water,na,70,85,65,125,65,120,530,Torrent,na,Sniper,na,Inteleon
818,Inteleon-Gmax,Water,na,70,85,65,125,65,120,530,Torrent,na,Sniper,na,Inteleon-Gmax
819,Skwovet,Normal,na,70,55,55,35,35,25,275,Cheek Pouch,na,Gluttony,na,Skwovet
820,Greedent,Normal,na,120,95,95,55,75,20,460,Cheek Pouch,na,Gluttony,na,Greedent
821,Rookidee,Flying,na,38,47,35,33,35,57,245,Keen Eye,Unnerve,Big Pecks,na,Rookidee
822,Corvisquire,Flying,na,68,67,55,43,55,77,365,Keen Eye,Unnerve,Big Pecks,na,Corvisquire
823,Corviknight,Flying,Steel,98,87,105,53,85,67,495,Pressure,Unnerve,Mirror Armor,na,Corviknight
823,Corviknight-Gmax,Flying,Steel,98,87,105,53,85,67,495,Pressure,Unnerve,Mirror Armor,na,Corviknight-Gmax
824,Blipbug,Bug,na,25,20,20,25,45,45,180,Swarm,Compoundeyes,Telepathy,na,Blipbug
